Comment,Designator,Footprint,LCSC
"Antenna_Shield","AE1","Connector_Coaxial:SMA_Wurth_60312002114503_Vertical","C504007"
"10nF","C1,C17","Capacitor_SMD:C_0402_1005Metric","C15195"
"10uF","C10","Capacitor_SMD:C_0603_1608Metric","C19702"
"100nF","C11,C12,C14,C16,C18,C19,C21","Capacitor_SMD:C_0402_1005Metric","C1525"
"4.7uF","C13","Capacitor_SMD:C_0603_1608Metric","C19666"
"1uF","C15","Capacitor_SMD:C_0603_1608Metric","C15849"
"1nF","C2","Capacitor_SMD:C_0402_1005Metric","C1523"
"33nF","C3","Capacitor_SMD:C_0402_1005Metric","C1585"
"22pF","C4,C6","Capacitor_SMD:C_0402_1005Metric","C1555"
"2.2nF","C5,C20","Capacitor_SMD:C_0402_1005Metric","C1531"
"4.7pF","C7","Capacitor_SMD:C_0402_1005Metric","C1569"
"1.5pF","C8","Capacitor_SMD:C_0402_1005Metric","C1552"
"1.0pF","C9","Capacitor_SMD:C_0402_1005Metric","C1550"
"LED_g","D1","LED_SMD:LED_0603_1608Metric","C72043"
"LED_w","D2","LED_SMD:LED_0603_1608Metric","C2290"
"USB_B_Micro","J1","Connector_USB:USB_Micro-B_Molex-105017-0001","C91146"
"Conn_02x05_Odd_Even","J2","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical",""
"Conn_01x03_Female","J3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Conn_01x04_Female","J4","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"8.2nH","L1","Inductor_SMD:L_0402_1005Metric","C16208"
"3.9nH","L2","Inductor_SMD:L_0402_1005Metric","C14033"
"2.7nH","L3","Inductor_SMD:L_0402_1005Metric","C27123"
"22k","R1","Resistor_SMD:R_0402_1005Metric","C25768"
"1M","R2","Resistor_SMD:R_0402_1005Metric","C26083"
"2.2k","R3,R4,R6,R7,R8","Resistor_SMD:R_0402_1005Metric","C25879"
"SW_Push_Dual","SW1","Button_Switch_THT:SW_PUSH_6mm_H9.5mm",""
"NRF24L01+","U1","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","C8791"
"CH330N","U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C108996"
"XC6206PxxxMR","U3","Package_TO_SOT_SMD:SOT-23","C5446"
"STM32G031F8Px","U4","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","C529334"
"USBLC6-2SC6","U5","Package_TO_SOT_SMD:SOT-23-6","C7519"
"MPU-6050","U6","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","C24112"
"16 MHz","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
